solution_id,cost,dissatisfaction,peak_power
0,20.09,2.8907,53.60
1,55.14,2.7931,43.17
2,-6.43,5.4175,36.00
3,22.74,6.6490,15.66
4,-4.47,6.6770,28.72
5,35.77,2.8299,51.87
6,17.92,3.3110,47.44
7,1.89,4.0512,37.84
8,50.77,2.9036,40.01
9,5.82,6.2238,19.84
10,8.06,6.3976,15.82
11,11.87,5.9975,16.74
12,7.28,5.7551,22.24
13,19.46,3.0028,43.70
14,8.13,5.4516,21.10
15,25.49,4.1341,22.72
16,46.14,3.0314,35.72
17,13.79,3.5442,46.36
18,-1.75,4.7732,36.37
19,49.55,2.8447,40.13
20,3.80,5.8681,23.39
21,10.19,5.2744,21.65
22,45.59,3.1278,34.69
23,39.91,3.3925,30.54
24,43.48,3.2255,32.58
25,2.14,3.9448,42.73
26,14.97,6.3372,16.58
27,13.31,5.6416,19.27
28,26.68,5.9589,16.11
29,23.44,4.9226,17.75
30,3.22,5.1857,29.77
31,34.80,2.9789,38.28
32,42.31,3.5595,28.35
33,4.54,5.5390,27.52
34,40.49,3.3270,31.59
35,22.01,3.6800,31.07
36,33.77,3.8112,25.24
37,14.77,4.7805,19.86
38,12.14,4.9878,24.61
39,17.50,5.6007,18.09
40,38.36,3.4879,29.71
41,4.69,5.2138,22.64
42,9.77,3.6052,39.70
43,18.61,5.1345,19.13
44,36.46,3.3679,31.89
45,12.70,4.5560,26.87
46,8.99,4.6326,28.03
47,-3.88,4.8575,31.62
48,-2.59,4.3863,46.46
49,27.06,3.4536,33.50
50,37.73,2.8255,41.12
51,32.79,3.1243,37.03
52,19.95,3.1369,41.61
53,24.47,3.1602,33.75
54,16.24,3.4448,46.89
55,29.71,2.8504,40.79
56,10.15,5.0431,21.93
57,11.74,3.8682,36.95
58,27.85,2.9014,40.37
59,25.10,4.7259,21.43
60,19.77,4.1879,26.44
61,15.43,4.2437,29.26
62,6.59,4.4507,29.55
63,20.54,4.9119,18.88
64,4.92,5.0845,26.75
65,35.99,3.0532,36.19
66,23.61,3.0326,39.00
67,14.40,4.5960,24.20
68,21.00,4.1321,25.99
69,32.07,3.1936,33.64
70,6.09,3.8916,36.55
71,10.99,4.8304,26.55
72,33.44,3.6198,28.28
73,12.81,3.6502,38.49
74,19.00,3.7367,30.89
75,30.54,3.5093,28.76
76,20.20,3.2492,39.39
77,2.13,4.5143,32.52
78,17.30,3.3512,35.80
79,35.71,3.2266,32.32
80,5.35,4.8826,30.70
81,32.39,3.4207,32.05
82,25.38,3.7380,27.69
83,24.15,3.9221,28.54
84,21.16,3.0939,43.55
85,16.66,3.6580,32.10
86,20.02,3.5137,32.37
87,34.01,3.5992,27.90
88,31.35,4.6888,21.15
89,14.11,4.4731,24.71
90,31.30,4.0150,27.57
91,19.47,3.2740,41.39
92,-2.48,4.6700,40.13
93,11.03,4.8485,25.01
94,-1.84,5.5755,28.92
95,13.52,4.2546,35.11
96,5.93,4.6303,28.95
97,20.84,4.2252,25.93
